Навыки
['Работа в команде', 'Базовые знания ПК']
['Разработка айдентики бренда', 'Web-разработка']
['Учет товарно-материальных ценностей', 'Контроль отгрузок']
['ГРАНД-Смета', 'Smeta.RU', 'Расчет критериев работоспособности', 'Расчеты критериев работоспособности']
['Знания в области логистики', 'Экспедирование и транспортная логистика']
['Ведение финансовой отчетности', 'Ведение управленческой отчетности']
['Работа в CRM-системах', 'Работа с Blockchain и цифровыми финансовыми активами', 'Работа в ГИС-системах']
['Прием и оформление заказов', 'Проведение валютных операций']
['Организация и контроль промо-акций', 'Организация оплаты труда', 'Организация учебного процесса']
['Прием и размещение товара', 'Контроль доставки']
['CorelDRAW', 'Adobe After Effects', 'Adobe Acrobat', 'Adobe Premiere Pro']
['V-Ray', 'Unreal Engine', 'Cinema 4D', 'Lumion', 'Unity', 'Procreate', 'Altium Designer', 'MapInfo Professional', 'Chaos Corona', 'Rhinoceros 3D', 'ArtCAM Pro', 'Sony Vegas Pro', '3D печать']
['Autodesk Revit', 'ArchiCAD', 'Autodesk Maya']
['Выполнение пуско-наладочных работ', 'Выполнение штукатурных работ', 'Выполнение плотницких работ', 'Выполнение арматурных работ', 'Выполнение фасадных работ', 'Выполнение бетонных работ', 'Выполнение высотных работ', 'Выполнение каменных работ']
['Навыки разработки фирменного стиля', 'Мобильная разработка (IOS)', 'Мобильная разработка (Android)']
['Работа с автоматизированными системами управления', 'Эксплуатация оборудования работающего под давлением']
['Подготовка коммерческих предложений', 'Подготовка пресс-релизов', 'Фрезеровка', 'Сертификация продукции', 'Навыки работы с каналами сбыта продукции']
['1С: Предприятие', '1С', '1С: ERP', '1С: Склад']
['Расследование несчастных случаев', 'Аудит информационных систем и безопасности']
['Инженерные изыскания', 'Строительство дорог']
['Создание и дистрибуция контента', 'Написание сценариев']
['Эксплуатация объектов недвижимости', 'Работа с дебиторской задолженностью']
['Взаимодействие с государственными контролирующими органами', 'Знание локальных нормативных актов в сфере химического производства']
['Высокая скорость печати текста', 'Сестринское дело', 'SAP', 'API', 'IIko', 'Mathcad', 'UML', 'Pascal/Delphi', 'Взрослая хирургия', 'Лазерная резка металла', 'Инжиниринг', 'C#/.NET', 'Python', 'Ветеринария', 'Педиатрия', 'Мониторинг СМИ', 'Письменный перевод', 'QGIS', 'Плазменная резка металла', 'Физиотерапия', 'Сборка мебели']
['Составление договоров', 'Сопровождение сделок']
